2026-09-23 21:55:14 | DEBUG    | tiktok_live_studio_captcha_solver.logs | log directories already exist
2026-09-23 21:55:16 | DEBUG    | PIL.Image | Importing PngImagePlugin
2026-09-23 21:55:16 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to shapes-template-mask_2026-09-23T21-55-16-934366.png
2026-09-23 21:55:16 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to shapes-template_2026-09-23T21-55-16-950663.png
2026-09-23 21:55:16 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to puzzle-template-mask_2026-09-23T21-55-16-955860.png
2026-09-23 21:55:16 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to puzzle-template_2026-09-23T21-55-16-958981.png
2026-09-23 21:55:16 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to puzzle-template-mask_2026-09-23T21-55-16-966431.png
2026-09-23 21:55:16 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to puzzle-canvas-template_2026-09-23T21-55-16-968677.png
2026-09-23 21:55:22 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-21-924539.png
2026-09-23 21:55:22 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-22-084253.png
2026-09-23 21:55:23 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.4529460370540619, threshold 0.9)
2026-09-23 21:55:23 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:55:23 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-23-333742.png
2026-09-23 21:55:23 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-23-488085.png
2026-09-23 21:55:24 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.4531775116920471, threshold 0.65)
2026-09-23 21:55:24 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.SHAPES captcha not found
2026-09-23 21:55:25 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-24-914978.png
2026-09-23 21:55:25 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-25-101995.png
2026-09-23 21:55:26 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.438588410615921, threshold 0.9)
2026-09-23 21:55:26 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:55:26 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-26-718287.png
2026-09-23 21:55:27 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-26-970199.png
2026-09-23 21:55:29 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.3750140964984894, threshold 0.65)
2026-09-23 21:55:29 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.SHAPES captcha not found
2026-09-23 21:55:29 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-29-273396.png
2026-09-23 21:55:29 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-29-479281.png
2026-09-23 21:55:30 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.42352405190467834, threshold 0.9)
2026-09-23 21:55:30 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:55:31 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-31-013554.png
2026-09-23 21:55:31 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-31-298366.png
2026-09-23 21:55:33 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.612910270690918, threshold 0.65)
2026-09-23 21:55:33 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.SHAPES captcha not found
2026-09-23 21:55:33 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-33-060824.png
2026-09-23 21:55:33 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-33-285965.png
2026-09-23 21:55:34 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.46558481454849243, threshold 0.9)
2026-09-23 21:55:34 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:55:34 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-34-327842.png
2026-09-23 21:55:34 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-34-566692.png
2026-09-23 21:55:36 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.612910270690918, threshold 0.65)
2026-09-23 21:55:36 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.SHAPES captcha not found
2026-09-23 21:55:36 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-36-291880.png
2026-09-23 21:55:36 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-36-514452.png
2026-09-23 21:55:37 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.47302988171577454, threshold 0.9)
2026-09-23 21:55:37 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:55:38 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-37-941549.png
2026-09-23 21:55:38 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-38-297288.png
2026-09-23 21:55:39 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.612910270690918, threshold 0.65)
2026-09-23 21:55:39 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.SHAPES captcha not found
2026-09-23 21:55:40 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-39-986616.png
2026-09-23 21:55:40 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-40-315788.png
2026-09-23 21:55:42 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.45804640650749207, threshold 0.9)
2026-09-23 21:55:42 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:55:42 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-42-405884.png
2026-09-23 21:55:42 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-42-746068.png
2026-09-23 21:55:44 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.612910270690918, threshold 0.65)
2026-09-23 21:55:44 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.SHAPES captcha not found
2026-09-23 21:55:45 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-44-815114.png
2026-09-23 21:55:45 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-45-095839.png
2026-09-23 21:55:46 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.4673459529876709, threshold 0.9)
2026-09-23 21:55:46 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:55:46 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-46-311868.png
2026-09-23 21:55:46 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-46-561197.png
2026-09-23 21:55:48 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.612910270690918, threshold 0.65)
2026-09-23 21:55:48 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.SHAPES captcha not found
2026-09-23 21:55:48 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-48-261760.png
2026-09-23 21:55:48 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-48-626603.png
2026-09-23 21:55:50 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.4561426043510437, threshold 0.9)
2026-09-23 21:55:50 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:55:51 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-50-753289.png
2026-09-23 21:55:51 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-51-128866.png
2026-09-23 21:55:52 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.3750140964984894, threshold 0.65)
2026-09-23 21:55:52 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.SHAPES captcha not found
2026-09-23 21:55:53 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-52-972458.png
2026-09-23 21:55:53 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-53-156272.png
2026-09-23 21:55:54 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.4181898534297943, threshold 0.9)
2026-09-23 21:55:54 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:55:54 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-54-159956.png
2026-09-23 21:55:54 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-54-341323.png
2026-09-23 21:55:55 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.3615275025367737, threshold 0.65)
2026-09-23 21:55:55 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.SHAPES captcha not found
2026-09-23 21:55:56 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-55-832304.png
2026-09-23 21:55:56 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-56-148385.png
2026-09-23 21:55:58 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.4047410786151886, threshold 0.9)
2026-09-23 21:55:58 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:55:58 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-58-121942.png
2026-09-23 21:55:58 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-55-58-326616.png
2026-09-23 21:55:59 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.360249400138855, threshold 0.65)
2026-09-23 21:55:59 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.SHAPES captcha not found
2026-09-23 21:55:59 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-55-59-758290.png
2026-09-23 21:56:00 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-56-00-024150.png
2026-09-23 21:56:01 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.4323863983154297, threshold 0.9)
2026-09-23 21:56:01 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:56:01 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-56-01-494578.png
2026-09-23 21:56:01 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-56-01-718814.png
2026-09-23 21:56:03 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.4978426396846771, threshold 0.65)
2026-09-23 21:56:03 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.SHAPES captcha not found
2026-09-23 21:56:03 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-56-03-504133.png
2026-09-23 21:56:03 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-56-03-744891.png
2026-09-23 21:56:04 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.4688296318054199, threshold 0.9)
2026-09-23 21:56:04 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:56:05 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-56-04-858978.png
2026-09-23 21:56:05 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-56-05-126888.png
2026-09-23 21:56:06 | DEBUG    | tiktok_live_studio_captcha_solver.vision | found best matching location for template, with confidence 0.699104905128479
2026-09-23 21:56:06 | DEBUG    | tiktok_live_studio_captcha_solver.vision | found shapes captcha box at Box(left=795, top=483, width=330, height=268)
2026-09-23 21:56:06 | INFO     | tiktok_live_studio_captcha_solver.solver | shapes captcha detected
2026-09-23 21:56:06 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to cropped-screenshot_2026-09-23T21-56-06-509067.png
2026-09-23 21:56:06 | DEBUG    | tiktok_live_studio_captcha_solver.image_io | converted PIL image to base64 string
2026-09-23 21:56:06 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): www.sadcaptcha.com:443
2026-09-23 21:56:07 | DEBUG    | urllib3.connectionpool | https://www.sadcaptcha.com:443 "POST /api/v1/shapes?licenseKey=b84d1bbf5c29b38fadb7a560594b6499 HTTP/1.1" 200 None
2026-09-23 21:56:07 | DEBUG    | root | Got API response
2026-09-23 21:56:07 | INFO     | tiktok_live_studio_captcha_solver.solver | got response for shapes captcha: ShapesCaptchaResponse(point_one_proportion_x=0.3125, point_one_proportion_y=0.3609375, point_two_proportion_x=0.3765625, point_two_proportion_y=0.515625)
2026-09-23 21:56:08 | INFO     | tiktok_live_studio_captcha_solver.solver | clicked at 898.125, 579.73125
2026-09-23 21:56:08 | INFO     | tiktok_live_studio_captcha_solver.solver | clicked first shape
2026-09-23 21:56:10 | INFO     | tiktok_live_studio_captcha_solver.solver | clicked at 919.265625, 621.1875
2026-09-23 21:56:10 | INFO     | tiktok_live_studio_captcha_solver.solver | clicked second shape
2026-09-23 21:56:11 | INFO     | tiktok_live_studio_captcha_solver.solver | clicked confirm button
2026-09-23 21:56:17 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-56-16-954140.png
2026-09-23 21:56:17 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-56-17-181689.png
2026-09-23 21:56:18 | DEBUG    | tiktok_live_studio_captcha_solver.vision | Could not find template on image (confidence was 0.4920385777950287, threshold 0.9)
2026-09-23 21:56:18 | DEBUG    | tiktok_live_studio_captcha_solver.solver | CaptchaType.PUZZLE captcha not found
2026-09-23 21:56:18 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot_2026-09-23T21-56-18-483553.png
2026-09-23 21:56:19 | DEBUG    | tiktok_live_studio_captcha_solver.logs | saved image to screenshot-processed_2026-09-23T21-56-18-911635.png
